"h_angle","c_value","size"
1,47,12.5
2,47,12.5
3,47,12.5
4,47,12.5
5,47,12.5
6,47,15
7,47,15
8,47,12.5
9,47,12.5
10,47,12.5
11,47,12.5
12,47,12.5
13,47,12.5
14,47,12.5
15,47,12.5
16,47,12.5
17,47,12.5
18,47,12.5
19,47,12.5
20,47,12.5
21,47,10
22,47,10
23,47,10
24,47,10
25,47,10
26,47,10
27,47,10
28,47,10
29,47,10
30,47,10
31,47,10
32,47,10
33,47,10
34,47,10
35,47,10
36,47,10
37,47,10
38,47,10
39,47,10
40,47,10
41,47,10
42,47,10
43,47,10
44,47,12.5
45,47,12.5
46,47,12.5
47,47,12.5
48,47,10
49,47,10
50,47,10
51,47,10
52,47,10
53,47,10
54,47,12.5
55,47,12.5
56,47,12.5
57,47,12.5
58,47,12.5
59,47,12.5
