"h_angle","c_value","size"
1,18,22.5
2,18,22.5
3,18,22.5
4,18,22.5
5,18,25
6,18,25
7,18,25
8,18,25
9,18,25
10,18,25
11,18,25
12,18,25
13,18,25
14,18,25
15,18,25
16,18,25
17,18,25
18,18,25
19,18,25
20,18,25
21,18,22.5
22,18,22.5
23,18,22.5
24,18,22.5
25,18,22.5
26,18,22.5
27,18,22.5
28,18,25
29,18,25
30,18,25
31,18,25
32,18,25
33,18,25
34,18,25
35,18,25
36,18,22.5
37,18,22.5
38,18,22.5
39,18,22.5
40,18,22.5
41,18,22.5
42,18,22.5
43,18,22.5
44,18,22.5
45,18,22.5
46,18,22.5
47,18,22.5
48,18,22.5
49,18,22.5
50,18,22.5
51,18,22.5
52,18,22.5
53,18,22.5
54,18,22.5
55,18,22.5
56,18,22.5
57,18,22.5
58,18,22.5
59,18,22.5
