"h_angle","c_value","size"
1,48,12.5
2,48,12.5
3,48,12.5
4,48,12.5
5,48,12.5
6,48,12.5
7,48,12.5
8,48,12.5
9,48,12.5
10,48,12.5
11,48,12.5
12,48,12.5
13,48,12.5
14,48,12.5
15,48,12.5
16,48,10
17,48,10
18,48,10
19,48,10
20,48,10
21,48,10
22,48,10
23,48,10
24,48,10
25,48,10
26,48,10
27,48,10
28,48,10
29,48,10
30,48,10
31,48,10
32,48,10
33,48,10
34,48,10
35,48,10
36,48,10
37,48,10
38,48,10
39,48,10
40,48,10
41,48,10
42,48,10
43,48,10
44,48,10
45,48,10
46,48,10
47,48,10
48,48,10
49,48,10
50,48,10
51,48,10
52,48,10
53,48,10
54,48,10
55,48,12.5
56,48,12.5
57,48,12.5
58,48,12.5
59,48,12.5
