"h_angle","c_value","size"
1,44,15
2,44,15
3,44,15
4,44,15
5,44,15
6,44,15
7,44,15
8,44,15
9,44,12.5
10,44,12.5
11,44,12.5
12,44,12.5
13,44,12.5
14,44,12.5
15,44,12.5
16,44,12.5
17,44,12.5
18,44,12.5
19,44,12.5
20,44,12.5
21,44,12.5
22,44,12.5
23,44,10
24,44,10
25,44,10
26,44,10
27,44,10
28,44,10
29,44,10
30,44,12.5
31,44,12.5
32,44,12.5
33,44,12.5
34,44,12.5
35,44,12.5
36,44,12.5
37,44,12.5
38,44,12.5
39,44,12.5
40,44,12.5
41,44,12.5
42,44,12.5
43,44,12.5
44,44,12.5
45,44,12.5
46,44,12.5
47,44,12.5
48,44,12.5
49,44,12.5
50,44,12.5
51,44,12.5
52,44,12.5
53,44,12.5
54,44,12.5
55,44,12.5
56,44,12.5
57,44,12.5
58,44,15
59,44,15
