"h_angle","c_value","size"
1,24,22
2,24,22
3,24,22
4,24,23
5,24,23
6,24,23
7,24,23
8,24,23
9,24,23
10,24,23
11,24,23
12,24,23
13,24,23
14,24,24
15,24,24
16,24,24
17,24,24
18,24,24
19,24,24
20,24,24
21,24,25
22,24,24
23,24,24
24,24,24
25,24,24
26,24,24
27,24,23
28,24,23
29,24,23
30,24,23
31,24,23
32,24,23
33,24,23
34,24,23
35,24,23
36,24,22
37,24,22
38,24,22
39,24,22
40,24,22
41,24,22
42,24,22
43,24,22
44,24,22
45,24,22
46,24,22
47,24,22
48,24,22
49,24,22
50,24,22
51,24,22
52,24,22
53,24,22
54,24,22
55,24,22
56,24,22
57,24,22
58,24,22
59,24,22
