"grid","col_num","row_num","base_h","base_c","base_l","h_values","c_values","l_values","hex_color"
1,1,8,0,22.5,59.4217102201611,0,22.5,76,"#D8B2B9"
1,2,8,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,76,"#D9B2B3"
1,3,8,0,22.5,59.4217102201611,19.8648940584445,26.7548059077959,76,"#DAB2AD"
1,4,8,0,22.5,59.4217102201611,27.2357239203905,29.7978545943356,76,"#DBB2A7"
1,5,8,0,22.5,59.4217102201611,33.1627607686381,33.2396814686821,76,"#DCB2A1"
1,6,8,0,22.5,59.4217102201611,37.9370848345265,36.9690748640899,76,"#DEB39B"
1,7,8,0,22.5,59.4217102201611,41.8149717737004,40.9074608711769,76,"#DFB394"
1,8,8,0,22.5,59.4217102201611,45,45,76,"#E0B38E"
1,1,7,0,22.5,59.4217102201611,0,22.5,71.2633457771889,"#CBA5AC"
1,2,7,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,71.2633457771889,"#CCA5A6"
1,3,7,0,22.5,59.4217102201611,19.8648940584445,26.7548059077959,71.2633457771889,"#CDA5A0"
1,4,7,0,22.5,59.4217102201611,27.2357239203905,29.7978545943356,71.2633457771889,"#CEA59A"
1,5,7,0,22.5,59.4217102201611,33.1627607686381,33.2396814686821,71.2633457771889,"#CFA694"
1,6,7,0,22.5,59.4217102201611,37.9370848345265,36.9690748640899,71.2633457771889,"#D0A68E"
1,7,7,0,22.5,59.4217102201611,41.8149717737004,40.9074608711769,71.2633457771889,"#D1A687"
1,8,7,0,22.5,59.4217102201611,45,45,71.2633457771889,"#D2A680"
1,1,6,0,22.5,59.4217102201611,0,22.5,66.5266915543778,"#BE989F"
1,2,6,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,66.5266915543778,"#BF9999"
1,3,6,0,22.5,59.4217102201611,19.8648940584445,26.7548059077959,66.5266915543778,"#C09994"
1,4,6,0,22.5,59.4217102201611,27.2357239203905,29.7978545943356,66.5266915543778,"#C1998E"
1,5,6,0,22.5,59.4217102201611,33.1627607686381,33.2396814686821,66.5266915543778,"#C29987"
1,6,6,0,22.5,59.4217102201611,37.9370848345265,36.9690748640899,66.5266915543778,"#C39981"
1,7,6,0,22.5,59.4217102201611,41.8149717737004,40.9074608711769,66.5266915543778,"#C4997A"
1,8,6,0,22.5,59.4217102201611,45,45,66.5266915543778,"#C59973"
1,1,5,0,22.5,59.4217102201611,0,22.5,61.7900373315667,"#B18C92"
1,2,5,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,61.7900373315667,"#B28C8D"
1,3,5,0,22.5,59.4217102201611,19.8648940584445,26.7548059077959,61.7900373315667,"#B38C87"
1,4,5,0,22.5,59.4217102201611,27.2357239203905,29.7978545943356,61.7900373315667,"#B48C81"
1,5,5,0,22.5,59.4217102201611,33.1627607686381,33.2396814686821,61.7900373315667,"#B58C7B"
1,6,5,0,22.5,59.4217102201611,37.9370848345265,36.9690748640899,61.7900373315667,"#B68D74"
1,7,5,0,22.5,59.4217102201611,41.8149717737004,40.9074608711769,61.7900373315667,"#B78D6D"
1,8,5,0,22.5,59.4217102201611,45,45,61.7900373315667,"#B88D66"
1,1,4,0,22.5,59.4217102201611,0,22.5,57.0533831087556,"#A57F86"
1,2,4,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,57.0533831087556,"#A68080"
1,3,4,0,22.5,59.4217102201611,19.8648940584445,26.7548059077959,57.0533831087556,"#A7807B"
1,4,4,0,22.5,59.4217102201611,27.2357239203905,29.7978545943356,57.0533831087556,"#A88075"
1,5,4,0,22.5,59.4217102201611,33.1627607686381,33.2396814686821,57.0533831087556,"#A9806E"
1,6,4,0,22.5,59.4217102201611,37.9370848345265,36.9690748640899,57.0533831087556,"#AA8068"
1,7,4,0,22.5,59.4217102201611,41.8149717737004,40.9074608711769,57.0533831087556,"#AB8060"
1,8,4,0,22.5,59.4217102201611,45,45,57.0533831087556,"#AB8059"
1,1,3,0,22.5,59.4217102201611,0,22.5,52.3167288859445,"#98737A"
1,2,3,0,22.5,59.4217102201611,10.7990804918462,24.2610578160854,52.3167288859445,"#997374"
