"h_angle","c_value","size"
25,19.75,25.75
25.25,19.75,25.75
25.5,19.75,25.75
25.75,19.75,25.75
26,19.75,25.75
26.25,19.75,25.75
26.5,19.75,25.75
26.75,19.75,25.75
27,19.75,25.75
27.25,19.75,25.75
27.5,19.75,25.75
27.75,19.75,25.75
28,19.75,25.75
28.25,19.75,25.75
28.5,19.75,25.75
28.75,19.75,25.75
29,19.75,25.75
29.25,19.75,25.75
29.5,19.75,25.75
29.75,19.75,25.75
30,19.75,25.75
30.25,19.75,25.75
30.5,19.75,25.5
30.75,19.75,25.5
31,19.75,25.5
31.25,19.75,25.5
31.5,19.75,25.5
31.75,19.75,25.5
32,19.75,25.5
32.25,19.75,25.5
32.5,19.75,25.25
32.75,19.75,25.25
33,19.75,25.25
33.25,19.75,25.25
33.5,19.75,25.25
33.75,19.75,25.25
34,19.75,25.25
34.25,19.75,25.25
34.5,19.75,25
34.75,19.75,25
35,19.75,25
