"h_angle","c_value","size"
25,20,25.75
25.25,20,25.75
25.5,20,25.75
25.75,20,25.75
26,20,25.75
26.25,20,25.75
26.5,20,25.75
26.75,20,25.75
27,20,25.75
27.25,20,25.75
27.5,20,25.75
27.75,20,25.75
28,20,25.75
28.25,20,25.75
28.5,20,25.75
28.75,20,25.75
29,20,25.5
29.25,20,25.5
29.5,20,25.5
29.75,20,25.5
30,20,25.5
30.25,20,25.5
30.5,20,25.5
30.75,20,25.5
31,20,25.5
31.25,20,25.5
31.5,20,25.25
31.75,20,25.25
32,20,25.25
32.25,20,25.25
32.5,20,25.25
32.75,20,25.25
33,20,25.25
33.25,20,25.25
33.5,20,25
33.75,20,25
34,20,25
34.25,20,25
34.5,20,25
34.75,20,25
35,20,25
