"h_angle","c_value","size"
25,18.75,25.75
25.25,18.75,25.75
25.5,18.75,25.75
25.75,18.75,25.75
26,18.75,25.75
26.25,18.75,25.75
26.5,18.75,25.75
26.75,18.75,25.75
27,18.75,26
27.25,18.75,26
27.5,18.75,26
27.75,18.75,26
28,18.75,26
28.25,18.75,26
28.5,18.75,26
28.75,18.75,26
29,18.75,26
29.25,18.75,26
29.5,18.75,26
29.75,18.75,26
30,18.75,26
30.25,18.75,26
30.5,18.75,26
30.75,18.75,26
31,18.75,26
31.25,18.75,26
31.5,18.75,26
31.75,18.75,26
32,18.75,25.75
32.25,18.75,25.75
32.5,18.75,25.75
32.75,18.75,25.75
33,18.75,25.75
33.25,18.75,25.75
33.5,18.75,25.75
33.75,18.75,25.75
34,18.75,25.75
34.25,18.75,25.75
34.5,18.75,25.75
34.75,18.75,25.5
35,18.75,25.5
