"h_angle","c_value","size"
25,18.25,25.75
25.25,18.25,25.75
25.5,18.25,25.75
25.75,18.25,26
26,18.25,25.75
26.25,18.25,25.75
26.5,18.25,25.75
26.75,18.25,26
27,18.25,26
27.25,18.25,26
27.5,18.25,26
27.75,18.25,26
28,18.25,26
28.25,18.25,26
28.5,18.25,26
28.75,18.25,26
29,18.25,26
29.25,18.25,26
29.5,18.25,26
29.75,18.25,26
30,18.25,26
30.25,18.25,26
30.5,18.25,26
30.75,18.25,26.25
31,18.25,26
31.25,18.25,26
31.5,18.25,26.25
31.75,18.25,26.25
32,18.25,26
32.25,18.25,26
32.5,18.25,26
32.75,18.25,26
33,18.25,26
33.25,18.25,26
33.5,18.25,26
33.75,18.25,26
34,18.25,26
34.25,18.25,26
34.5,18.25,25.75
34.75,18.25,25.75
35,18.25,25.75
