"h_angle","c_value","size"
25,17.75,25.75
25.25,17.75,26
25.5,17.75,26
25.75,17.75,26
26,17.75,25.75
26.25,17.75,26
26.5,17.75,26
26.75,17.75,26
27,17.75,26
27.25,17.75,26
27.5,17.75,26
27.75,17.75,26
28,17.75,26
28.25,17.75,26
28.5,17.75,26
28.75,17.75,26
29,17.75,26
29.25,17.75,26
29.5,17.75,26
29.75,17.75,26
30,17.75,26
30.25,17.75,26
30.5,17.75,26
30.75,17.75,26.25
31,17.75,26
31.25,17.75,26
31.5,17.75,26.25
31.75,17.75,26.25
32,17.75,26.25
32.25,17.75,26.25
32.5,17.75,26.25
32.75,17.75,26.25
33,17.75,26.25
33.25,17.75,26.25
33.5,17.75,26.25
33.75,17.75,26.25
34,17.75,26.25
34.25,17.75,26
34.5,17.75,26
34.75,17.75,26
35,17.75,26
